"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.523229583E0,-6.144113874E-1,4.317911482E-1,6.361916810E-1
2.533227583E0,-5.651875526E-1,5.142170084E-1,7.794268298E-1
2.543225583E0,-4.439352304E-1,5.944495779E-1,8.571515286E-1
2.553224583E0,-3.925122578E-1,5.874802816E-1,8.361378050E-1
2.563222583E0,-3.368504193E-1,4.595443726E-1,6.979061186E-1
2.573220583E0,-2.606031657E-1,1.948625547E-1,4.930167586E-1
2.583219583E0,-2.664541820E-1,1.851403892E-2,3.662660801E-1
2.593217583E0,-2.464072955E-1,-5.834819555E-2,3.879113030E-1
2.603215583E0,-4.273313306E-2,-1.600575882E-1,6.121537775E-1
2.613213583E0,3.302768333E-1,-3.234767407E-1,1.002701590E0
2.623212583E0,6.626970365E-1,-4.597110182E-1,1.426122449E0
2.633210583E0,8.437759497E-1,-6.269565886E-1,1.786604463E0
2.643208583E0,8.469841707E-1,-7.841250676E-1,1.955123557E0
2.653206583E0,8.146061642E-1,-8.405717486E-1,1.830519977E0
2.663205583E0,7.458435660E-1,-7.722324157E-1,1.561588987E0
2.673203583E0,6.579110174E-1,-5.911786455E-1,1.143013131E0
2.683201583E0,4.848606967E-1,-4.603349161E-1,7.058308500E-1
2.693199583E0,2.802055176E-1,-4.533141643E-1,2.295874143E-1
2.703198583E0,9.095278166E-2,-5.415661901E-1,-1.644903624E-1
2.713196583E0,-5.389590628E-2,-6.876910329E-1,-4.103172487E-1
2.723194583E0,9.433751553E-3,-8.351016784E-1,-5.188123351E-1
2.733193583E0,2.074962681E-1,-9.507549262E-1,-4.648980832E-1
2.743191584E0,4.453278179E-1,-9.820392841E-1,-3.787884772E-1
2.753189584E0,6.861068029E-1,-8.725215197E-1,-2.717920321E-1
2.763187584E0,9.082346318E-1,-6.704551953E-1,-1.464838618E-1
2.773186584E0,1.105348072E0,-4.655874699E-1,-1.044955909E-1
2.783184584E0,1.288834211E0,-3.167571205E-1,-8.548161507E-2
2.793182584E0,1.417018480E0,-2.011629295E-1,-8.520971954E-2
2.803180584E0,1.443116650E0,-1.332761711E-1,-2.216235065E-1
2.813179584E0,1.328063181E0,-6.080110252E-2,-4.673504055E-1
2.823177584E0,1.067484135E0,-1.893796206E-2,-7.687112224E-1
2.833175584E0,7.843273813E-1,-1.824448228E-2,-1.049328457E0
2.843173584E0,5.358231280E-1,-6.765871704E-2,-1.323776879E0
2.853172584E0,3.189239524E-1,-1.420814931E-1,-1.516323352E0
2.863170583E0,1.510963648E-1,-2.567699504E-1,-1.596251866E0
2.873168583E0,-4.518984072E-2,-3.599896789E-1,-1.602080371E0
2.883166583E0,-1.690838619E-1,-4.729339117E-1,-1.520756711E0
2.893165583E0,-2.323928352E-1,-5.987227231E-1,-1.454479691E0
2.903163583E0,-2.430162028E-1,-6.692506689E-1,-1.361967384E0
2.913161583E0,-1.960168681E-1,-6.450297475E-1,-1.264514764E0
2.923159583E0,-1.422531820E-1,-5.682441115E-1,-1.125484348E0
2.933158583E0,-7.084303759E-2,-3.594581670E-1,-9.747922450E-1
2.943156583E0,3.029025815E-2,-1.004335302E-1,-8.948526210E-1
2.953154583E0,9.931802765E-2,1.129436481E-1,-9.419051653E-1
2.963152583E0,1.615000963E-1,2.337020999E-1,-1.156237194E0
2.973151583E0,1.596485024E-1,2.957866663E-1,-1.346879228E0
2.983149583E0,1.596852668E-2,3.431356645E-1,-1.461934891E0
2.993147583E0,-2.397928521E-1,4.030953526E-1,-1.453814862E0
3.003146583E0,-4.305829673E-1,4.680555797E-1,-1.273026556E0
3.013144583E0,-4.636322341E-1,4.871063930E-1,-9.409427136E-1
3.023142583E0,-4.001026015E-1,4.863500556E-1,-5.517736745E-1
3.033140583E0,-3.305986494E-1,5.236380422E-1,-1.614176506E-1
3.043139583E0,-2.476835965E-1,6.037399265E-1,1.935557020E-1
3.053137583E0,-1.427898102E-1,7.500515878E-1,3.940485406E-1
3.063135583E0,-1.137641586E-2,8.795820326E-1,4.532323033E-1
3.073133583E0,7.368259169E-2,1.032970871E0,3.099632406E-1
3.083132583E0,1.242630536E-1,1.173530042E0,5.929427505E-2
