"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.898553145E1,6.045947764E1,2.480860817E1,7.102188926E1,1.546155194E0,1.973850415E2,2.971942401E0,3.947438226E0
7.998554766E1,6.045946427E1,2.480860038E1,7.159273563E1,1.519613596E0,1.952629253E2,3.002095081E0,4.129789925E0
8.098556221E1,6.045945170E1,2.480858555E1,7.166015673E1,1.513806802E0,1.988503019E2,3.068655927E0,4.358747721E0
8.198557413E1,6.045943854E1,2.480857036E1,7.096984758E1,1.512710446E0,2.041439820E2,3.066100915E0,4.365140056E0
8.298558474E1,6.045942367E1,2.480856051E1,7.109784481E1,1.556942402E0,2.004734818E2,3.027544148E0,4.124413638E0
8.398559356E1,6.045940847E1,2.480855100E1,7.135532691E1,1.532181146E0,1.988105001E2,3.051050646E0,4.105049183E0
8.498560071E1,6.045939507E1,2.480854136E1,7.222324917E1,1.514179510E0,1.981352686E2,3.023645423E0,4.011948035E0
8.598560703E1,6.045938201E1,2.480853003E1,6.998562206E1,1.408386927E0,1.996063430E2,2.972463136E0,3.714966207E0
8.698561084E1,6.045937084E1,2.480852813E1,6.996902485E1,1.307491474E0,1.945595475E2,2.923839941E0,3.459979883E0
8.798561478E1,6.045935082E1,2.480853971E1,7.097023977E1,1.556492902E0,1.799616335E2,2.947533675E0,3.630969598E0
8.898561597E1,6.045933750E1,2.480855046E1,7.117504887E1,1.559710265E0,1.693565406E2,2.925077202E0,3.846131409E0
8.998561633E1,6.045932925E1,2.480858071E1,7.231417201E1,1.450957898E0,1.456039511E2,2.953001408E0,3.829660481E0
9.098561609E1,6.045932285E1,2.480860309E1,7.224933523E1,1.455026283E0,1.341278256E2,2.947371138E0,3.661711811E0
9.198561513E1,6.045931345E1,2.480862313E1,7.179318779E1,1.527870126E0,1.363549350E2,2.927244301E0,3.679009069E0
9.298561215E1,6.045930449E1,2.480864373E1,7.099238596E1,1.549195230E0,1.401473265E2,2.940151164E0,3.788906051E0
9.398560858E1,6.045929345E1,2.480866287E1,7.044546297E1,1.522043995E0,1.450268660E2,2.987535416E0,3.822157669E0
9.498560500E1,6.045928543E1,2.480867712E1,7.073430112E1,1.538255919E0,1.466043075E2,3.046624542E0,3.896211636E0
9.598559940E1,6.045927654E1,2.480870157E1,7.077030550E1,1.555531469E0,1.403213806E2,3.103343080E0,4.054741238E0
9.698559391E1,6.045926570E1,2.480871973E1,7.131207151E1,1.535972145E0,1.431618380E2,3.079559757E0,4.071099954E0
9.798558819E1,6.045925400E1,2.480874298E1,7.077025645E1,1.548541019E0,1.429555190E2,3.056951074E0,4.164458867E0
9.898558021E1,6.045924310E1,2.480876249E1,7.051619735E1,1.553887139E0,1.440256196E2,3.029935538E0,3.956633667E0
9.998557258E1,6.045923720E1,2.480878329E1,7.090503170E1,1.550455596E0,1.391869588E2,2.978438756E0,3.892045212E0
1.009855649E2,6.045922911E1,2.480880619E1,7.080857784E1,1.576639178E0,1.357989415E2,3.020979732E0,3.963129838E0
1.019855552E2,6.045921822E1,2.480883258E1,7.109881485E1,1.577469415E0,1.364241552E2,3.030676977E0,3.935976549E0
1.029855461E2,6.045920733E1,2.480886798E1,7.152918892E1,1.574634453E0,1.298468455E2,3.077048469E0,4.024312231E0
1.039855361E2,6.045919810E1,2.480889578E1,7.105909055E1,1.544568977E0,1.296459186E2,3.187742427E0,4.089228643E0
1.049855267E2,6.045918448E1,2.480891274E1,7.136529324E1,1.559823811E0,1.404907932E2,3.312392874E0,4.427768046E0
1.059855152E2,6.045916915E1,2.480892114E1,7.082635110E1,1.573197634E0,1.530840218E2,3.329327160E0,4.479080613E0
1.069855049E2,6.045915672E1,2.480893453E1,7.138412331E1,1.576630434E0,1.563609060E2,3.321750613E0,4.398598188E0
1.079854931E2,6.045914240E1,2.480893981E1,7.111548723E1,1.566613601E0,1.606188401E2,3.307700381E0,4.268814542E0
1.089854814E2,6.045912825E1,2.480894454E1,7.095258660E1,1.547581185E0,1.635003189E2,3.311855052E0,4.126820857E0
1.099854690E2,6.045911719E1,2.480896139E1,7.178369464E1,1.551993166E0,1.585733652E2,3.318465907E0,3.935892471E0
1.109854569E2,6.045910256E1,2.480895766E1,7.219864510E1,1.561169881E0,1.696310021E2,3.297499970E0,3.982570052E0
1.119854438E2,6.045908846E1,2.480896424E1,7.213837288E1,1.565810691E0,1.704898104E2,3.279476284E0,3.960837257E0
1.129854311E2,6.045907530E1,2.480898128E1,7.199202869E1,1.575701972E0,1.586700457E2,3.250023944E0,3.847534391E0
1.139854183E2,6.045906621E1,2.480898758E1,7.412576385E1,1.287197329E0,1.592420046E2,3.213859722E0,3.676473340E0
1.149854046E2,6.045904970E1,2.480898921E1,7.348134983E1,1.547248856E0,1.671632322E2,3.186495750E0,3.675137062E0
1.159853913E2,6.045903584E1,2.480899219E1,7.335657663E1,1.506675260E0,1.752964457E2,3.137008251E0,4.009854502E0
1.169853776E2,6.045902149E1,2.480900778E1,7.387793934E1,1.526663098E0,1.675880936E2,3.106548996E0,3.996486762E0
1.179853634E2,6.045900827E1,2.480902442E1,7.296499380E1,1.574571427E0,1.603130006E2,3.051221527E0,3.913183333E0
1.189853489E2,6.045899382E1,2.480904010E1,7.423857353E1,1.556603956E0,1.540486658E2,3.160853431E0,4.053142908E0
1.199853345E2,6.045897988E1,2.480904584E1,7.407400343E1,1.576326484E0,1.551016898E2,3.132805660E0,4.014786119E0
1.209853201E2,6.045896493E1,2.480905537E1,7.363979181E1,1.564266722E0,1.584754900E2,3.101048723E0,4.099842227E0
1.219853055E2,6.045895030E1,2.480906526E1,7.348265492E1,1.563475700E0,1.589735426E2,3.088231700E0,4.174082137E0
1.229852905E2,6.045893424E1,2.480906983E1,7.419873531E1,1.572536075E0,1.629015306E2,3.102421861E0,4.200457780E0
1.239852757E2,6.045891981E1,2.480908299E1,7.427065861E1,1.569502029E0,1.627052723E2,3.089784814E0,4.194332149E0
1.249852606E2,6.045890540E1,2.480909358E1,7.434442197E1,1.573474143E0,1.592642250E2,3.066107383E0,4.220316955E0
1.259852458E2,6.045889165E1,2.480910360E1,7.440132082E1,1.568664298E0,1.597912149E2,3.018411550E0,4.207435215E0
1.269852300E2,6.045887867E1,2.480911146E1,7.409882066E1,1.558772817E0,1.611276271E2,2.970083576E0,4.141422988E0
1.279852142E2,6.045886735E1,2.480911912E1,7.369275300E1,1.517519386E0,1.594373566E2,2.973431752E0,4.225944781E0
1.289851993E2,6.045885447E1,2.480912438E1,7.387607382E1,1.551374413E0,1.608123240E2,2.924760163E0,4.223368271E0
1.299851838E2,6.045883961E1,2.480913321E1,7.354497972E1,1.560138179E0,1.638797935E2,2.902504731E0,4.357208269E0
1.309851686E2,6.045882637E1,2.480913851E1,7.361884028E1,1.548195593E0,1.646372471E2,2.874978528E0,4.427872881E0
1.319851522E2,6.045881346E1,2.480914706E1,7.335282590E1,1.554843282E0,1.620401107E2,2.831229573E0,4.402590915E0
1.329851371E2,6.045880079E1,2.480915675E1,7.351060692E1,1.548595873E0,1.590237330E2,2.804205265E0,4.441647514E0
1.339851208E2,6.045878855E1,2.480916568E1,7.386155783E1,1.553946316E0,1.575726079E2,2.841933960E0,4.402900810E0
1.349880676E2,6.045878110E1,2.480917466E1,7.340029753E1,1.550769018E0,1.516235329E2,2.799837269E0,4.211386435E0
1.359880917E2,6.045876865E1,2.480918012E1,7.273475752E1,1.538068963E0,1.573073600E2,2.808589050E0,4.160964209E0
1.369880750E2,6.045875528E1,2.480919187E1,7.233181725E1,1.539869854E0,1.578041658E2,2.833764825E0,4.257298595E0
